iso3,country_name,indicator,indicator_name,year,value_percent,country_longitude,country_latitude,status
MNG,Mongolia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MNE,Montenegro,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MSR,Montserrat,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MAR,Morocco,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MOZ,Mozambique,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MMR,Myanmar,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
NAM,Namibia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
NRU,Nauru,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
NPL,Nepal,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
NLD,Netherlands,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
NCL,New Caledonia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
NZL,New Zealand,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
NIC,Nicaragua,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
NER,Niger,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
NGA,Nigeria,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
NIU,Niue,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
NFK,Norfolk Island,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MKD,North Macedonia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MNP,Northern Mariana Islands,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
NOR,Norway,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
OMN,Oman,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
PAK,Pakistan,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
PLW,Palau,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
PSE,"Palestine, State of",EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
PAN,Panama,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
PNG,Papua New Guinea,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
PRY,Paraguay,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
